,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,smoothed_anxious_5d,2021-01-01,2021-01-06,5,16.9867947,1.3018701,832.0,state,fb-survey
1,al,smoothed_anxious_5d,2021-01-01,2021-01-06,5,16.1749348,0.5636247,4268.1183,state,fb-survey
2,ar,smoothed_anxious_5d,2021-01-01,2021-01-06,5,17.691261,0.6848102,3105.0194,state,fb-survey
3,az,smoothed_anxious_5d,2021-01-01,2021-01-06,5,16.3788716,0.4823367,5887.0723,state,fb-survey
4,ca,smoothed_anxious_5d,2021-01-01,2021-01-06,5,16.8190459,0.2289134,26698.2517,state,fb-survey
5,co,smoothed_anxious_5d,2021-01-01,2021-01-06,5,18.0160907,0.5188989,5485.5937,state,fb-survey
6,ct,smoothed_anxious_5d,2021-01-01,2021-01-06,5,16.7821309,0.5776757,4185.0,state,fb-survey
7,dc,smoothed_anxious_5d,2021-01-01,2021-01-06,5,15.1785714,1.8145956,391.0,state,fb-survey
8,de,smoothed_anxious_5d,2021-01-01,2021-01-06,5,12.845092,0.9269202,1303.0,state,fb-survey
9,fl,smoothed_anxious_5d,2021-01-01,2021-01-06,5,14.3530833,0.2634925,17706.0003,state,fb-survey
10,ga,smoothed_anxious_5d,2021-01-01,2021-01-06,5,15.83598,0.4528263,6499.9213,state,fb-survey
11,hi,smoothed_anxious_5d,2021-01-01,2021-01-06,5,13.8190955,1.0945917,994.0,state,fb-survey
12,ia,smoothed_anxious_5d,2021-01-01,2021-01-06,5,14.0064871,0.56296,3800.4928,state,fb-survey
13,id,smoothed_anxious_5d,2021-01-01,2021-01-06,5,15.3625508,0.7859774,2104.7753,state,fb-survey
14,il,smoothed_anxious_5d,2021-01-01,2021-01-06,5,15.7352228,0.332572,11988.0225,state,fb-survey
15,in,smoothed_anxious_5d,2021-01-01,2021-01-06,5,17.7077029,0.4683587,6642.9984,state,fb-survey
16,ks,smoothed_anxious_5d,2021-01-01,2021-01-06,5,16.3760562,0.6527442,3214.0598,state,fb-survey
17,ky,smoothed_anxious_5d,2021-01-01,2021-01-06,5,18.3248331,0.5804629,4442.026,state,fb-survey
18,la,smoothed_anxious_5d,2021-01-01,2021-01-06,5,17.1465878,0.5868438,4125.1813,state,fb-survey
19,ma,smoothed_anxious_5d,2021-01-01,2021-01-06,5,19.4592206,0.5360588,5454.0155,state,fb-survey
20,md,smoothed_anxious_5d,2021-01-01,2021-01-06,5,14.7312762,0.520752,4631.9971,state,fb-survey
21,me,smoothed_anxious_5d,2021-01-01,2021-01-06,5,19.1994247,0.8625779,2085.0,state,fb-survey
22,mi,smoothed_anxious_5d,2021-01-01,2021-01-06,5,16.4502932,0.3448393,11558.0633,state,fb-survey
23,mn,smoothed_anxious_5d,2021-01-01,2021-01-06,5,16.7980222,0.5409159,4776.747,state,fb-survey
24,mo,smoothed_anxious_5d,2021-01-01,2021-01-06,5,18.3238042,0.5313512,5300.8783,state,fb-survey
25,ms,smoothed_anxious_5d,2021-01-01,2021-01-06,5,15.7532997,0.7046239,2673.0658,state,fb-survey
26,mt,smoothed_anxious_5d,2021-01-01,2021-01-06,5,17.6227043,1.0171179,1403.2578,state,fb-survey
