,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,smoothed_depressed_5d,2021-01-01,2021-01-06,5,11.91052,1.1270349,826.0,state,fb-survey
1,al,smoothed_depressed_5d,2021-01-01,2021-01-06,5,12.4374238,0.5101789,4184.1183,state,fb-survey
2,ar,smoothed_depressed_5d,2021-01-01,2021-01-06,5,14.1904302,0.6292768,3075.0195,state,fb-survey
3,az,smoothed_depressed_5d,2021-01-01,2021-01-06,5,12.1624756,0.4285842,5816.0723,state,fb-survey
4,ca,smoothed_depressed_5d,2021-01-01,2021-01-06,5,11.9318202,0.2003209,26186.2517,state,fb-survey
5,co,smoothed_depressed_5d,2021-01-01,2021-01-06,5,13.6582466,0.4654842,5442.5948,state,fb-survey
6,ct,smoothed_depressed_5d,2021-01-01,2021-01-06,5,11.0640871,0.4878779,4134.0,state,fb-survey
7,dc,smoothed_depressed_5d,2021-01-01,2021-01-06,5,8.6563307,1.4312401,386.0,state,fb-survey
8,de,smoothed_depressed_5d,2021-01-01,2021-01-06,5,9.6034215,0.8219349,1285.0,state,fb-survey
9,fl,smoothed_depressed_5d,2021-01-01,2021-01-06,5,10.3825599,0.2311927,17408.0005,state,fb-survey
10,ga,smoothed_depressed_5d,2021-01-01,2021-01-06,5,12.2000868,0.4084415,6420.9215,state,fb-survey
11,hi,smoothed_depressed_5d,2021-01-01,2021-01-06,5,11.2525458,1.0089481,981.0,state,fb-survey
12,ia,smoothed_depressed_5d,2021-01-01,2021-01-06,5,12.597025,0.5407363,3765.5044,state,fb-survey
13,id,smoothed_depressed_5d,2021-01-01,2021-01-06,5,12.8376807,0.7329688,2082.7845,state,fb-survey
14,il,smoothed_depressed_5d,2021-01-01,2021-01-06,5,11.8066438,0.2965047,11844.0224,state,fb-survey
15,in,smoothed_depressed_5d,2021-01-01,2021-01-06,5,14.4365076,0.4331751,6582.9982,state,fb-survey
16,ks,smoothed_depressed_5d,2021-01-01,2021-01-06,5,13.1163044,0.5984402,3182.0597,state,fb-survey
17,ky,smoothed_depressed_5d,2021-01-01,2021-01-06,5,14.1234368,0.5264627,4376.026,state,fb-survey
18,la,smoothed_depressed_5d,2021-01-01,2021-01-06,5,12.3701861,0.5166398,4061.1814,state,fb-survey
19,ma,smoothed_depressed_5d,2021-01-01,2021-01-06,5,13.6000815,0.4671259,5385.0155,state,fb-survey
20,md,smoothed_depressed_5d,2021-01-01,2021-01-06,5,11.158566,0.4660062,4564.9971,state,fb-survey
21,me,smoothed_depressed_5d,2021-01-01,2021-01-06,5,14.626506,0.7759388,2074.0,state,fb-survey
22,mi,smoothed_depressed_5d,2021-01-01,2021-01-06,5,12.9748722,0.3143725,11425.0632,state,fb-survey
23,mn,smoothed_depressed_5d,2021-01-01,2021-01-06,5,12.9631337,0.4886725,4724.7354,state,fb-survey
24,mo,smoothed_depressed_5d,2021-01-01,2021-01-06,5,13.6081262,0.4729025,5256.8782,state,fb-survey
25,ms,smoothed_depressed_5d,2021-01-01,2021-01-06,5,12.4769539,0.6448559,2626.0659,state,fb-survey
26,mt,smoothed_depressed_5d,2021-01-01,2021-01-06,5,13.4471367,0.9136619,1394.2487,state,fb-survey
27,nc,smoothed_depressed_5d,2021-01-01,2021-01-06,5,10.7647611,0.3071069,10185.0115,state,fb-survey
28,nd,smoothed_depressed_5d,2021-01-01,2021-01-06,5,13.8637104,1.2781977,730.9195,state,fb-survey
29,ne,smoothed_depressed_5d,2021-01-01,2021-01-06,5,11.1219298,0.7194597,1909.6855,state,fb-survey
30,nh,smoothed_depressed_5d,2021-01-01,2021-01-06,5,12.3969072,0.7483892,1939.0,state,fb-survey
31,nj,smoothed_depressed_5d,2021-01-01,2021-01-06,5,10.577378,0.3895197,6233.997,state,fb-survey
32,nm,smoothed_depressed_5d,2021-01-01,2021-01-06,5,15.8308372,0.7009373,2712.0555,state,fb-survey
33,nv,smoothed_depressed_5d,2021-01-01,2021-01-06,5,14.692106,0.7630837,2152.4292,state,fb-survey
34,ny,smoothed_depressed_5d,2021-01-01,2021-01-06,5,11.9713807,0.2739196,14045.0014,state,fb-survey
35,oh,smoothed_depressed_5d,2021-01-01,2021-01-06,5,14.738973,0.3224538,12086.005,state,fb-survey
36,ok,smoothed_depressed_5d,2021-01-01,2021-01-06,5,15.2408604,0.5435663,4372.1094,state,fb-survey
37,or,smoothed_depressed_5d,2021-01-01,2021-01-06,5,15.0884797,0.5350108,4475.9686,state,fb-survey
38,pa,smoothed_depressed_5d,2021-01-01,2021-01-06,5,13.0726184,0.2950559,13053.0061,state,fb-survey
39,ri,smoothed_depressed_5d,2021-01-01,2021-01-06,5,12.2367892,0.9710265,1138.9845,state,fb-survey
40,sc,smoothed_depressed_5d,2021-01-01,2021-01-06,5,10.5185145,0.4053966,5727.0018,state,fb-survey
41,sd,smoothed_depressed_5d,2021-01-01,2021-01-06,5,10.6026526,0.9636763,1020.65,state,fb-survey
42,tn,smoothed_depressed_5d,2021-01-01,2021-01-06,5,12.7826123,0.4119671,6568.9763,state,fb-survey
43,tx,smoothed_depressed_5d,2021-01-01,2021-01-06,5,11.7451605,0.2291583,19739.0581,state,fb-survey
44,ut,smoothed_depressed_5d,2021-01-01,2021-01-06,5,14.510599,0.6559437,2883.1318,state,fb-survey
45,va,smoothed_depressed_5d,2021-01-01,2021-01-06,5,12.4116607,0.3618981,8300.4886,state,fb-survey
46,vt,smoothed_depressed_5d,2021-01-01,2021-01-06,5,15.2910217,1.1713768,944.0016,state,fb-survey
47,wa,smoothed_depressed_5d,2021-01-01,2021-01-06,5,14.6296699,0.4116316,7370.9599,state,fb-survey
48,wi,smoothed_depressed_5d,2021-01-01,2021-01-06,5,12.1669897,0.4327319,5706.9361,state,fb-survey
49,wv,smoothed_depressed_5d,2021-01-01,2021-01-06,5,15.6957603,0.7097035,2627.1078,state,fb-survey
50,wy,smoothed_depressed_5d,2021-01-01,2021-01-06,5,13.2365852,1.2368922,750.6697,state,fb-survey
0,ak,smoothed_depressed_5d,2021-01-02,2021-01-07,5,12.408313,1.1533916,817.0,state,fb-survey
1,al,smoothed_depressed_5d,2021-01-02,2021-01-07,5,12.973651,0.5187196,4196.1169,state,fb-survey
2,ar,smoothed_depressed_5d,2021-01-02,2021-01-07,5,14.4358209,0.6230397,3182.0133,state,fb-survey
3,az,smoothed_depressed_5d,2021-01-02,2021-01-07,5,11.9984937,0.4214163,5945.5798,state,fb-survey
4,ca,smoothed_depressed_5d,2021-01-02,2021-01-07,5,11.8940588,0.1981193,26698.177,state,fb-survey
5,co,smoothed_depressed_5d,2021-01-02,2021-01-07,5,13.2900132,0.4572942,5510.6544,state,fb-survey
6,ct,smoothed_depressed_5d,2021-01-02,2021-01-07,5,11.2511781,0.485114,4243.0,state,fb-survey
7,dc,smoothed_depressed_5d,2021-01-02,2021-01-07,5,8.919598,1.4305066,397.0,state,fb-survey
8,de,smoothed_depressed_5d,2021-01-02,2021-01-07,5,9.3014427,0.8006587,1316.0,state,fb-survey
9,fl,smoothed_depressed_5d,2021-01-02,2021-01-07,5,10.3772513,0.2285041,17812.0012,state,fb-survey
10,ga,smoothed_depressed_5d,2021-01-02,2021-01-07,5,11.8605785,0.3965772,6646.9228,state,fb-survey
11,hi,smoothed_depressed_5d,2021-01-02,2021-01-07,5,10.8717435,0.9858475,997.0,state,fb-survey
12,ia,smoothed_depressed_5d,2021-01-02,2021-01-07,5,12.1460786,0.5271844,3839.4782,state,fb-survey
13,id,smoothed_depressed_5d,2021-01-02,2021-01-07,5,13.0933514,0.7382359,2087.9182,state,fb-survey
14,il,smoothed_depressed_5d,2021-01-02,2021-01-07,5,11.568493,0.2915418,12035.9991,state,fb-survey
15,in,smoothed_depressed_5d,2021-01-02,2021-01-07,5,14.2760738,0.4283118,6670.9983,state,fb-survey
16,ks,smoothed_depressed_5d,2021-01-02,2021-01-07,5,12.6768802,0.5833536,3252.9536,state,fb-survey
17,ky,smoothed_depressed_5d,2021-01-02,2021-01-07,5,14.3994718,0.5249596,4472.7155,state,fb-survey
18,la,smoothed_depressed_5d,2021-01-02,2021-01-07,5,12.3809682,0.5134933,4114.1814,state,fb-survey
19,ma,smoothed_depressed_5d,2021-01-02,2021-01-07,5,13.2587266,0.4538272,5584.016,state,fb-survey
20,md,smoothed_depressed_5d,2021-01-02,2021-01-07,5,11.2227285,0.4639846,4627.9973,state,fb-survey
21,me,smoothed_depressed_5d,2021-01-02,2021-01-07,5,14.824356,0.7692162,2134.0,state,fb-survey
22,mi,smoothed_depressed_5d,2021-01-02,2021-01-07,5,13.0046787,0.3127287,11568.0463,state,fb-survey
23,mn,smoothed_depressed_5d,2021-01-02,2021-01-07,5,12.5260003,0.4810208,4735.476,state,fb-survey
24,mo,smoothed_depressed_5d,2021-01-02,2021-01-07,5,13.2274154,0.4626248,5362.9005,state,fb-survey
25,ms,smoothed_depressed_5d,2021-01-02,2021-01-07,5,12.560553,0.6380781,2697.5436,state,fb-survey
26,mt,smoothed_depressed_5d,2021-01-02,2021-01-07,5,13.0012957,0.9026427,1388.25,state,fb-survey
27,nc,smoothed_depressed_5d,2021-01-02,2021-01-07,5,11.0588695,0.3056419,10529.0121,state,fb-survey
28,nd,smoothed_depressed_5d,2021-01-02,2021-01-07,5,12.0950507,1.2069642,729.8477,state,fb-survey
29,ne,smoothed_depressed_5d,2021-01-02,2021-01-07,5,11.0715383,0.7048834,1981.5917,state,fb-survey
30,nh,smoothed_depressed_5d,2021-01-02,2021-01-07,5,12.9105609,0.7539493,1978.0,state,fb-survey
31,nj,smoothed_depressed_5d,2021-01-02,2021-01-07,5,10.5209597,0.3837991,6390.9977,state,fb-survey
32,nm,smoothed_depressed_5d,2021-01-02,2021-01-07,5,15.1205424,0.6979708,2634.4835,state,fb-survey
33,nv,smoothed_depressed_5d,2021-01-02,2021-01-07,5,13.6286351,0.729752,2210.4034,state,fb-survey
34,ny,smoothed_depressed_5d,2021-01-02,2021-01-07,5,12.0101455,0.2709848,14391.0022,state,fb-survey
35,oh,smoothed_depressed_5d,2021-01-02,2021-01-07,5,14.2990933,0.31595,12276.0057,state,fb-survey
36,ok,smoothed_depressed_5d,2021-01-02,2021-01-07,5,15.1596098,0.536517,4468.1091,state,fb-survey
37,or,smoothed_depressed_5d,2021-01-02,2021-01-07,5,15.3538637,0.5318857,4593.9698,state,fb-survey
38,pa,smoothed_depressed_5d,2021-01-02,2021-01-07,5,12.6887615,0.2892354,13243.0065,state,fb-survey
39,ri,smoothed_depressed_5d,2021-01-02,2021-01-07,5,13.041602,0.9917669,1152.984,state,fb-survey
40,sc,smoothed_depressed_5d,2021-01-02,2021-01-07,5,10.357394,0.3965939,5903.0025,state,fb-survey
41,sd,smoothed_depressed_5d,2021-01-02,2021-01-07,5,9.6171924,0.9115065,1046.1996,state,fb-survey
42,tn,smoothed_depressed_5d,2021-01-02,2021-01-07,5,12.9335227,0.4066615,6809.2869,state,fb-survey
43,tx,smoothed_depressed_5d,2021-01-02,2021-01-07,5,11.6829572,0.2264673,20118.0629,state,fb-survey
44,ut,smoothed_depressed_5d,2021-01-02,2021-01-07,5,14.0804535,0.6380952,2971.2395,state,fb-survey
45,va,smoothed_depressed_5d,2021-01-02,2021-01-07,5,12.3633283,0.3590354,8405.1733,state,fb-survey
46,vt,smoothed_depressed_5d,2021-01-02,2021-01-07,5,14.6700819,1.1278957,984.002,state,fb-survey
47,wa,smoothed_depressed_5d,2021-01-02,2021-01-07,5,14.601628,0.4043994,7624.825,state,fb-survey
48,wi,smoothed_depressed_5d,2021-01-02,2021-01-07,5,12.2513016,0.4330343,5732.9532,state,fb-survey
49,wv,smoothed_depressed_5d,2021-01-02,2021-01-07,5,15.4644264,0.7062202,2621.1574,state,fb-survey
50,wy,smoothed_depressed_5d,2021-01-02,2021-01-07,5,12.2933377,1.1851199,767.6757,state,fb-survey
0,ak,smoothed_depressed_5d,2021-01-03,2021-01-08,5,12.9878049,1.1746703,819.0,state,fb-survey
1,al,smoothed_depressed_5d,2021-01-03,2021-01-08,5,13.0632491,0.5136112,4305.1232,state,fb-survey
2,ar,smoothed_depressed_5d,2021-01-03,2021-01-08,5,14.0563992,0.6126915,3218.1324,state,fb-survey
3,az,smoothed_depressed_5d,2021-01-03,2021-01-08,5,11.8289395,0.4146997,6064.6325,state,fb-survey
4,ca,smoothed_depressed_5d,2021-01-03,2021-01-08,5,11.7301634,0.1956325,27054.1714,state,fb-survey
5,co,smoothed_depressed_5d,2021-01-03,2021-01-08,5,12.7634242,0.4457174,5604.6258,state,fb-survey
6,ct,smoothed_depressed_5d,2021-01-03,2021-01-08,5,11.4614848,0.4860203,4296.0,state,fb-survey
7,dc,smoothed_depressed_5d,2021-01-03,2021-01-08,5,10.0496278,1.4995586,402.0,state,fb-survey
8,de,smoothed_depressed_5d,2021-01-03,2021-01-08,5,9.2633929,0.7911126,1343.0,state,fb-survey
9,fl,smoothed_depressed_5d,2021-01-03,2021-01-08,5,10.3399804,0.2260252,18147.0015,state,fb-survey
10,ga,smoothed_depressed_5d,2021-01-03,2021-01-08,5,11.5907698,0.3876564,6818.9275,state,fb-survey
11,hi,smoothed_depressed_5d,2021-01-03,2021-01-08,5,9.6248766,0.9271111,1012.0,state,fb-survey
12,ia,smoothed_depressed_5d,2021-01-03,2021-01-08,5,11.8067252,0.5179035,3882.1047,state,fb-survey
13,id,smoothed_depressed_5d,2021-01-03,2021-01-08,5,13.4905068,0.7453836,2100.5467,state,fb-survey
14,il,smoothed_depressed_5d,2021-01-03,2021-01-08,5,11.7992245,0.2922831,12181.999,state,fb-survey
15,in,smoothed_depressed_5d,2021-01-03,2021-01-08,5,13.8238273,0.4189256,6787.9983,state,fb-survey
16,ks,smoothed_depressed_5d,2021-01-03,2021-01-08,5,12.277427,0.5704248,3309.9535,state,fb-survey
17,ky,smoothed_depressed_5d,2021-01-03,2021-01-08,5,14.4153912,0.5253364,4470.4083,state,fb-survey
18,la,smoothed_depressed_5d,2021-01-03,2021-01-08,5,12.7253246,0.5133103,4214.9962,state,fb-survey
19,ma,smoothed_depressed_5d,2021-01-03,2021-01-08,5,13.0552659,0.4455843,5717.0145,state,fb-survey
20,md,smoothed_depressed_5d,2021-01-03,2021-01-08,5,11.2417914,0.4598786,4717.997,state,fb-survey
21,me,smoothed_depressed_5d,2021-01-03,2021-01-08,5,15.099124,0.7689575,2168.0,state,fb-survey
22,mi,smoothed_depressed_5d,2021-01-03,2021-01-08,5,13.2207625,0.310984,11863.0457,state,fb-survey
23,mn,smoothed_depressed_5d,2021-01-03,2021-01-08,5,12.7396382,0.4813819,4797.2744,state,fb-survey
24,mo,smoothed_depressed_5d,2021-01-03,2021-01-08,5,12.9293108,0.4523366,5502.0412,state,fb-survey
25,ms,smoothed_depressed_5d,2021-01-03,2021-01-08,5,12.5875236,0.6292177,2779.1489,state,fb-survey
26,mt,smoothed_depressed_5d,2021-01-03,2021-01-08,5,12.6650005,0.8834364,1417.2384,state,fb-survey
27,nc,smoothed_depressed_5d,2021-01-03,2021-01-08,5,11.1954107,0.3042533,10740.0128,state,fb-survey
28,nd,smoothed_depressed_5d,2021-01-03,2021-01-08,5,10.9147096,1.1356622,753.9106,state,fb-survey
29,ne,smoothed_depressed_5d,2021-01-03,2021-01-08,5,10.7522951,0.6905238,2012.5236,state,fb-survey
30,nh,smoothed_depressed_5d,2021-01-03,2021-01-08,5,12.8845184,0.7525406,1982.0,state,fb-survey
31,nj,smoothed_depressed_5d,2021-01-03,2021-01-08,5,10.4153841,0.378208,6522.9975,state,fb-survey
32,nm,smoothed_depressed_5d,2021-01-03,2021-01-08,5,14.9590771,0.7246665,2422.459,state,fb-survey
33,nv,smoothed_depressed_5d,2021-01-03,2021-01-08,5,13.8645896,0.730542,2237.6822,state,fb-survey
34,ny,smoothed_depressed_5d,2021-01-03,2021-01-08,5,11.9017061,0.26625,14791.0028,state,fb-survey
35,oh,smoothed_depressed_5d,2021-01-03,2021-01-08,5,14.1858052,0.3137432,12367.0064,state,fb-survey
36,ok,smoothed_depressed_5d,2021-01-03,2021-01-08,5,14.9136551,0.5289664,4535.11,state,fb-survey
37,or,smoothed_depressed_5d,2021-01-03,2021-01-08,5,15.4101181,0.5291745,4655.074,state,fb-survey
38,pa,smoothed_depressed_5d,2021-01-03,2021-01-08,5,12.36543,0.2836551,13468.0076,state,fb-survey
39,ri,smoothed_depressed_5d,2021-01-03,2021-01-08,5,12.9505346,0.972504,1191.9855,state,fb-survey
40,sc,smoothed_depressed_5d,2021-01-03,2021-01-08,5,10.1055959,0.3871782,6060.0033,state,fb-survey
41,sd,smoothed_depressed_5d,2021-01-03,2021-01-08,5,9.0590573,0.8834061,1055.6541,state,fb-survey
42,tn,smoothed_depressed_5d,2021-01-03,2021-01-08,5,12.891054,0.4034552,6898.5941,state,fb-survey
43,tx,smoothed_depressed_5d,2021-01-03,2021-01-08,5,11.6759099,0.2242504,20507.066,state,fb-survey
44,ut,smoothed_depressed_5d,2021-01-03,2021-01-08,5,14.0841962,0.6397839,2956.2323,state,fb-survey
45,va,smoothed_depressed_5d,2021-01-03,2021-01-08,5,12.3929812,0.3595826,8396.868,state,fb-survey
46,vt,smoothed_depressed_5d,2021-01-03,2021-01-08,5,14.8202433,1.1081509,1028.002,state,fb-survey
47,wa,smoothed_depressed_5d,2021-01-03,2021-01-08,5,14.9503074,0.4061584,7707.8281,state,fb-survey
48,wi,smoothed_depressed_5d,2021-01-03,2021-01-08,5,11.9712891,0.4256326,5816.9524,state,fb-survey
49,wv,smoothed_depressed_5d,2021-01-03,2021-01-08,5,14.8394546,0.6852652,2691.1569,state,fb-survey
50,wy,smoothed_depressed_5d,2021-01-03,2021-01-08,5,12.0753209,1.1844948,756.7339,state,fb-survey
0,ak,smoothed_depressed_5d,2021-01-04,2021-01-09,5,13.9383155,1.1935868,842.0,state,fb-survey
1,al,smoothed_depressed_5d,2021-01-04,2021-01-09,5,13.0944861,0.5088994,4394.1194,state,fb-survey
2,ar,smoothed_depressed_5d,2021-01-04,2021-01-09,5,14.4967262,0.6220695,3203.1324,state,fb-survey
3,az,smoothed_depressed_5d,2021-01-04,2021-01-09,5,11.7392023,0.4114761,6119.5181,state,fb-survey
4,ca,smoothed_depressed_5d,2021-01-04,2021-01-09,5,11.5747469,0.1937913,27253.2971,state,fb-survey
5,co,smoothed_depressed_5d,2021-01-04,2021-01-09,5,12.2799207,0.4399714,5564.7501,state,fb-survey
6,ct,smoothed_depressed_5d,2021-01-04,2021-01-09,5,11.2947344,0.4779455,4386.0,state,fb-survey
7,dc,smoothed_depressed_5d,2021-01-04,2021-01-09,5,9.2137592,1.4353752,406.0,state,fb-survey
8,de,smoothed_depressed_5d,2021-01-04,2021-01-09,5,9.808964,0.8065361,1360.0,state,fb-survey
9,fl,smoothed_depressed_5d,2021-01-04,2021-01-09,5,10.1787456,0.2228788,18405.0018,state,fb-survey
10,ga,smoothed_depressed_5d,2021-01-04,2021-01-09,5,11.6762391,0.3869144,6888.9146,state,fb-survey
11,hi,smoothed_depressed_5d,2021-01-04,2021-01-09,5,10.4484733,0.9453434,1047.0,state,fb-survey
12,ia,smoothed_depressed_5d,2021-01-04,2021-01-09,5,11.7907591,0.5106088,3989.1392,state,fb-survey
13,id,smoothed_depressed_5d,2021-01-04,2021-01-09,5,13.3688283,0.7414875,2106.4921,state,fb-survey
14,il,smoothed_depressed_5d,2021-01-04,2021-01-09,5,11.864631,0.2923717,12233.0206,state,fb-survey
15,in,smoothed_depressed_5d,2021-01-04,2021-01-09,5,13.650433,0.4169851,6778.9996,state,fb-survey
16,ks,smoothed_depressed_5d,2021-01-04,2021-01-09,5,12.653781,0.5823673,3258.8952,state,fb-survey
17,ky,smoothed_depressed_5d,2021-01-04,2021-01-09,5,14.371203,0.5271434,4428.4879,state,fb-survey
18,la,smoothed_depressed_5d,2021-01-04,2021-01-09,5,12.5321061,0.5060748,4279.9963,state,fb-survey
19,ma,smoothed_depressed_5d,2021-01-04,2021-01-09,5,12.9600651,0.442577,5759.0135,state,fb-survey
20,md,smoothed_depressed_5d,2021-01-04,2021-01-09,5,11.0678215,0.455356,4746.9967,state,fb-survey
21,me,smoothed_depressed_5d,2021-01-04,2021-01-09,5,15.2283105,0.767942,2189.0,state,fb-survey
22,mi,smoothed_depressed_5d,2021-01-04,2021-01-09,5,13.0954347,0.3086521,11946.0459,state,fb-survey
23,mn,smoothed_depressed_5d,2021-01-04,2021-01-09,5,12.9988026,0.4865257,4777.6786,state,fb-survey
24,mo,smoothed_depressed_5d,2021-01-04,2021-01-09,5,13.2083907,0.4550151,5537.0191,state,fb-survey
25,ms,smoothed_depressed_5d,2021-01-04,2021-01-09,5,12.7584567,0.6264856,2835.9552,state,fb-survey
26,mt,smoothed_depressed_5d,2021-01-04,2021-01-09,5,12.8304616,0.8771925,1453.5073,state,fb-survey
27,nc,smoothed_depressed_5d,2021-01-04,2021-01-09,5,11.4250092,0.305428,10848.011,state,fb-survey
28,nd,smoothed_depressed_5d,2021-01-04,2021-01-09,5,11.379498,1.1528428,758.7822,state,fb-survey
29,ne,smoothed_depressed_5d,2021-01-04,2021-01-09,5,10.367724,0.6750956,2039.0003,state,fb-survey
30,nh,smoothed_depressed_5d,2021-01-04,2021-01-09,5,13.1290483,0.7540297,2006.0,state,fb-survey
31,nj,smoothed_depressed_5d,2021-01-04,2021-01-09,5,10.5387995,0.3799181,6531.9974,state,fb-survey
32,nm,smoothed_depressed_5d,2021-01-04,2021-01-09,5,14.9402788,0.7512892,2251.4814,state,fb-survey
33,nv,smoothed_depressed_5d,2021-01-04,2021-01-09,5,13.3020109,0.7136044,2264.7033,state,fb-survey
34,ny,smoothed_depressed_5d,2021-01-04,2021-01-09,5,12.0652292,0.268214,14748.0029,state,fb-survey
35,oh,smoothed_depressed_5d,2021-01-04,2021-01-09,5,14.20976,0.314588,12318.0061,state,fb-survey
36,ok,smoothed_depressed_5d,2021-01-04,2021-01-09,5,14.873061,0.5257125,4581.1099,state,fb-survey
37,or,smoothed_depressed_5d,2021-01-04,2021-01-09,5,15.1451372,0.5249272,4663.9277,state,fb-survey
38,pa,smoothed_depressed_5d,2021-01-04,2021-01-09,5,12.4245768,0.2829685,13589.0082,state,fb-survey
39,ri,smoothed_depressed_5d,2021-01-04,2021-01-09,5,12.8068927,0.9563295,1220.9865,state,fb-survey
40,sc,smoothed_depressed_5d,2021-01-04,2021-01-09,5,10.2586794,0.3846289,6223.0048,state,fb-survey
41,sd,smoothed_depressed_5d,2021-01-04,2021-01-09,5,8.7804762,0.8573537,1089.647,state,fb-survey
42,tn,smoothed_depressed_5d,2021-01-04,2021-01-09,5,12.9588573,0.4038332,6916.515,state,fb-survey
43,tx,smoothed_depressed_5d,2021-01-04,2021-01-09,5,11.6031296,0.222019,20808.0686,state,fb-survey
44,ut,smoothed_depressed_5d,2021-01-04,2021-01-09,5,14.3963672,0.6405854,3003.2468,state,fb-survey
45,va,smoothed_depressed_5d,2021-01-04,2021-01-09,5,12.3321005,0.3590933,8384.2268,state,fb-survey
46,vt,smoothed_depressed_5d,2021-01-04,2021-01-09,5,14.7738435,1.1013723,1038.0018,state,fb-survey
47,wa,smoothed_depressed_5d,2021-01-04,2021-01-09,5,15.109359,0.4046889,7831.8293,state,fb-survey
48,wi,smoothed_depressed_5d,2021-01-04,2021-01-09,5,12.084649,0.4254339,5869.9525,state,fb-survey
49,wv,smoothed_depressed_5d,2021-01-04,2021-01-09,5,14.1769532,0.6699094,2711.1575,state,fb-survey
50,wy,smoothed_depressed_5d,2021-01-04,2021-01-09,5,12.0285893,1.1817243,757.7465,state,fb-survey
0,ak,smoothed_depressed_5d,2021-01-05,2021-01-10,5,14.2111369,1.1899488,861.0,state,fb-survey
1,al,smoothed_depressed_5d,2021-01-05,2021-01-10,5,12.4128717,0.4947229,4442.1016,state,fb-survey
2,ar,smoothed_depressed_5d,2021-01-05,2021-01-10,5,15.04504,0.6327201,3192.7057,state,fb-survey
3,az,smoothed_depressed_5d,2021-01-05,2021-01-10,5,11.9301012,0.4120194,6189.2241,state,fb-survey
4,ca,smoothed_depressed_5d,2021-01-05,2021-01-10,5,11.5746014,0.1928757,27512.3665,state,fb-survey
5,co,smoothed_depressed_5d,2021-01-05,2021-01-10,5,12.3459366,0.4396046,5599.7877,state,fb-survey
6,ct,smoothed_depressed_5d,2021-01-05,2021-01-10,5,11.4901871,0.4818065,4381.0,state,fb-survey
7,dc,smoothed_depressed_5d,2021-01-05,2021-01-10,5,9.1463415,1.4253885,409.0,state,fb-survey
8,de,smoothed_depressed_5d,2021-01-05,2021-01-10,5,9.4020173,0.783667,1387.0,state,fb-survey
9,fl,smoothed_depressed_5d,2021-01-05,2021-01-10,5,10.0296964,0.2207419,18519.0013,state,fb-survey
10,ga,smoothed_depressed_5d,2021-01-05,2021-01-10,5,11.6660824,0.3900086,6774.9199,state,fb-survey
11,hi,smoothed_depressed_5d,2021-01-05,2021-01-10,5,9.8030019,0.9111729,1065.0,state,fb-survey
12,ia,smoothed_depressed_5d,2021-01-05,2021-01-10,5,11.7248779,0.5106487,3969.1923,state,fb-survey
13,id,smoothed_depressed_5d,2021-01-05,2021-01-10,5,13.7430854,0.7487198,2114.6552,state,fb-survey
14,il,smoothed_depressed_5d,2021-01-05,2021-01-10,5,11.7775162,0.2904684,12315.0213,state,fb-survey
15,in,smoothed_depressed_5d,2021-01-05,2021-01-10,5,13.8092313,0.4205403,6730.0003,state,fb-survey
