,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,24.211165,1.4931744,823.0,state,fb-survey
1,al,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,17.5071652,0.5875785,4183.12,state,fb-survey
2,ar,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,19.2616942,0.7123123,3065.0195,state,fb-survey
3,az,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,18.9926574,0.5140188,5823.0723,state,fb-survey
4,ca,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,22.4748683,0.2582545,26124.2517,state,fb-survey
5,co,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,22.8207736,0.568817,5443.5937,state,fb-survey
6,ct,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,20.0168919,0.6216415,4143.0,state,fb-survey
7,dc,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,20.437018,2.0471442,388.0,state,fb-survey
8,de,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,17.8321678,1.067413,1286.0,state,fb-survey
9,fl,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,16.1560164,0.2790557,17395.0005,state,fb-survey
10,ga,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,17.1475279,0.4707533,6410.9196,state,fb-survey
11,hi,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,16.1405295,1.1746283,981.0,state,fb-survey
12,ia,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,18.3475713,0.6301728,3772.4929,state,fb-survey
13,id,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,20.3902655,0.8821853,2085.7845,state,fb-survey
14,il,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,20.2829042,0.3695582,11839.0224,state,fb-survey
15,in,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,20.053125,0.4934543,6583.9981,state,fb-survey
16,ks,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,19.4066048,0.7006442,3186.0598,state,fb-survey
17,ky,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,20.2324078,0.6070833,4379.0259,state,fb-survey
18,la,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,18.0471643,0.6049679,4041.1813,state,fb-survey
19,ma,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,23.0633882,0.5734978,5395.0155,state,fb-survey
20,md,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,19.1962365,0.5829128,4564.9971,state,fb-survey
21,me,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,22.3154362,0.9118366,2085.0,state,fb-survey
22,mi,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,20.9307699,0.3806818,11420.0634,state,fb-survey
23,mn,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,23.3774006,0.6152051,4732.747,state,fb-survey
24,mo,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,19.0472366,0.5413292,5261.8784,state,fb-survey
25,ms,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,17.4687665,0.7433576,2609.0658,state,fb-survey
26,mt,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,20.726723,1.0851828,1395.2487,state,fb-survey
27,nc,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,17.8195786,0.3793535,10176.0117,state,fb-survey
28,nd,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,15.9387624,1.3595033,724.9196,state,fb-survey
29,ne,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,18.972652,0.8972197,1909.6865,state,fb-survey
30,nh,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,22.505144,0.9474165,1943.0,state,fb-survey
31,nj,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,18.0408187,0.487525,6220.997,state,fb-survey
32,nm,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,24.0058211,0.8210698,2706.0555,state,fb-survey
33,nv,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,22.1938328,0.8961085,2150.4292,state,fb-survey
34,ny,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,19.2497154,0.3331284,14007.0014,state,fb-survey
35,oh,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,21.4072862,0.3731046,12086.0052,state,fb-survey
36,ok,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,20.9214416,0.6152888,4370.1094,state,fb-survey
37,or,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,25.2690984,0.650333,4464.9686,state,fb-survey
38,pa,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,20.126382,0.3509236,13054.0061,state,fb-survey
39,ri,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,21.3221808,1.2125568,1140.9845,state,fb-survey
40,sc,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,15.1242053,0.4739364,5715.0015,state,fb-survey
41,sd,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,16.1759057,1.1520403,1021.65,state,fb-survey
42,tn,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,18.9013437,0.4830636,6568.9763,state,fb-survey
43,tx,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,18.4636555,0.2765171,19689.0581,state,fb-survey
44,ut,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,21.9227571,0.7710438,2879.1318,state,fb-survey
45,va,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,18.4075629,0.4256584,8289.4147,state,fb-survey
46,vt,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,24.4432777,1.4002012,942.0016,state,fb-survey
47,wa,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,24.8983575,0.5033992,7378.9599,state,fb-survey
48,wi,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,19.9106603,0.5283704,5711.9361,state,fb-survey
49,wv,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,19.6985445,0.7761086,2626.1078,state,fb-survey
50,wy,smoothed_felt_isolated_5d,2021-01-01,2021-01-06,5,18.0258563,1.4030138,750.6697,state,fb-survey
0,ak,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,24.2665037,1.4998112,817.0,state,fb-survey
1,al,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,17.6477591,0.5885866,4195.1186,state,fb-survey
2,ar,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,19.5451433,0.703868,3174.0133,state,fb-survey
3,az,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,18.7779178,0.5061412,5953.5798,state,fb-survey
4,ca,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,22.554827,0.256112,26630.177,state,fb-survey
5,co,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,22.5612594,0.563066,5510.6533,state,fb-survey
6,ct,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,19.9035975,0.6123161,4252.0,state,fb-survey
7,dc,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,20.625,2.025594,399.0,state,fb-survey
8,de,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,17.7162367,1.0520828,1317.0,state,fb-survey
9,fl,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,16.0825622,0.2753245,17804.0012,state,fb-survey
10,ga,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,16.90554,0.4604099,6626.9208,state,fb-survey
11,hi,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,14.6646647,1.1197866,998.0,state,fb-survey
12,ia,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,18.588073,0.6271534,3847.4667,state,fb-survey
13,id,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,20.5600247,0.8833956,2092.9182,state,fb-survey
14,il,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,20.1620988,0.3658118,12028.9991,state,fb-survey
15,in,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,20.3042804,0.4925479,6669.9983,state,fb-survey
16,ks,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,18.8366202,0.6852396,3255.9537,state,fb-survey
17,ky,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,20.4387554,0.6026959,4476.7154,state,fb-survey
18,la,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,17.6856883,0.5957913,4101.1813,state,fb-survey
19,ma,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,22.7142667,0.560493,5588.016,state,fb-survey
20,md,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,19.4324628,0.5813169,4632.9973,state,fb-survey
21,me,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,22.805789,0.9067897,2141.0,state,fb-survey
22,mi,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,21.0242533,0.3788422,11569.0466,state,fb-survey
23,mn,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,22.8280588,0.6093538,4744.4876,state,fb-survey
24,mo,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,19.1325014,0.537072,5363.9007,state,fb-survey
25,ms,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,17.936427,0.7395073,2691.5435,state,fb-survey
26,mt,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,20.5996691,1.0850533,1389.25,state,fb-survey
27,nc,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,17.8123083,0.3730932,10517.0124,state,fb-survey
28,nd,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,14.6900907,1.3148874,724.8478,state,fb-survey
29,ne,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,19.2022104,0.8850703,1980.5927,state,fb-survey
30,nh,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,22.9429581,0.944927,1980.0,state,fb-survey
31,nj,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,18.1811032,0.4827904,6381.9977,state,fb-survey
32,nm,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,24.2012082,0.8350873,2630.4835,state,fb-survey
33,nv,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,21.3353569,0.8717672,2208.4034,state,fb-survey
34,ny,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,19.4986757,0.3308372,14341.0022,state,fb-survey
35,oh,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,21.3575913,0.3698628,12278.0059,state,fb-survey
36,ok,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,20.852392,0.6079,4466.1091,state,fb-survey
37,or,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,26.1181895,0.6488128,4583.9698,state,fb-survey
38,pa,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,20.0989208,0.3482589,13241.0065,state,fb-survey
39,ri,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,21.8047918,1.2139544,1156.984,state,fb-survey
40,sc,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,15.138386,0.4671017,5888.0023,state,fb-survey
41,sd,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,16.0892741,1.1348931,1048.1996,state,fb-survey
42,tn,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,18.8629406,0.4740582,6810.2869,state,fb-survey
43,tx,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,18.4392399,0.2737192,20073.0628,state,fb-survey
44,ut,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,21.3235378,0.7521806,2965.2395,state,fb-survey
45,va,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,18.4374303,0.4231605,8398.0994,state,fb-survey
46,vt,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,24.3641925,1.3698832,982.002,state,fb-survey
47,wa,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,24.8366256,0.4946109,7630.825,state,fb-survey
48,wi,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,19.775212,0.5256817,5740.9531,state,fb-survey
49,wv,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,19.6431057,0.7772019,2613.1574,state,fb-survey
50,wy,smoothed_felt_isolated_5d,2021-01-02,2021-01-07,5,16.8462461,1.350839,767.6757,state,fb-survey
0,ak,smoothed_felt_isolated_5d,2021-01-03,2021-01-08,5,24.1147741,1.4956968,818.0,state,fb-survey
1,al,smoothed_felt_isolated_5d,2021-01-03,2021-01-08,5,17.5180571,0.5792674,4306.1249,state,fb-survey
2,ar,smoothed_felt_isolated_5d,2021-01-03,2021-01-08,5,19.9023171,0.7044742,3212.1324,state,fb-survey
3,az,smoothed_felt_isolated_5d,2021-01-03,2021-01-08,5,19.18052,0.5052007,6073.6325,state,fb-survey
4,ca,smoothed_felt_isolated_5d,2021-01-03,2021-01-08,5,22.5286344,0.254317,26985.1714,state,fb-survey
5,co,smoothed_felt_isolated_5d,2021-01-03,2021-01-08,5,21.9941282,0.5533772,5602.6247,state,fb-survey
6,ct,smoothed_felt_isolated_5d,2021-01-03,2021-01-08,5,20.2253717,0.6123433,4303.0,state,fb-survey
7,dc,smoothed_felt_isolated_5d,2021-01-03,2021-01-08,5,22.044335,2.0598938,405.0,state,fb-survey
8,de,smoothed_felt_isolated_5d,2021-01-03,2021-01-08,5,17.0886076,1.0275056,1342.0,state,fb-survey
9,fl,smoothed_felt_isolated_5d,2021-01-03,2021-01-08,5,16.2577209,0.2739955,18135.0015,state,fb-survey
10,ga,smoothed_felt_isolated_5d,2021-01-03,2021-01-08,5,16.8453546,0.453703,6804.9256,state,fb-survey
11,hi,smoothed_felt_isolated_5d,2021-01-03,2021-01-08,5,13.6453202,1.0779927,1014.0,state,fb-survey
12,ia,smoothed_felt_isolated_5d,2021-01-03,2021-01-08,5,18.3405453,0.6206418,3888.0932,state,fb-survey
13,id,smoothed_felt_isolated_5d,2021-01-03,2021-01-08,5,21.2370646,0.8921516,2101.5467,state,fb-survey
14,il,smoothed_felt_isolated_5d,2021-01-03,2021-01-08,5,20.2982541,0.3646011,12169.999,state,fb-survey
15,in,smoothed_felt_isolated_5d,2021-01-03,2021-01-08,5,20.0544787,0.4859951,6787.9982,state,fb-survey
16,ks,smoothed_felt_isolated_5d,2021-01-03,2021-01-08,5,18.4531703,0.6739557,3312.9536,state,fb-survey
17,ky,smoothed_felt_isolated_5d,2021-01-03,2021-01-08,5,20.2709113,0.6013399,4469.4083,state,fb-survey
18,la,smoothed_felt_isolated_5d,2021-01-03,2021-01-08,5,18.0985195,0.5940066,4200.9962,state,fb-survey
19,ma,smoothed_felt_isolated_5d,2021-01-03,2021-01-08,5,22.5629058,0.5525348,5723.0145,state,fb-survey
20,md,smoothed_felt_isolated_5d,2021-01-03,2021-01-08,5,19.2307705,0.5737761,4717.9971,state,fb-survey
21,me,smoothed_felt_isolated_5d,2021-01-03,2021-01-08,5,23.1847426,0.9048889,2175.0,state,fb-survey
22,mi,smoothed_felt_isolated_5d,2021-01-03,2021-01-08,5,21.5291102,0.3772762,11869.0461,state,fb-survey
23,mn,smoothed_felt_isolated_5d,2021-01-03,2021-01-08,5,22.7661248,0.6051593,4801.2859,state,fb-survey
24,mo,smoothed_felt_isolated_5d,2021-01-03,2021-01-08,5,19.0581521,0.529547,5501.0413,state,fb-survey
25,ms,smoothed_felt_isolated_5d,2021-01-03,2021-01-08,5,17.8413753,0.7270331,2773.1488,state,fb-survey
26,mt,smoothed_felt_isolated_5d,2021-01-03,2021-01-08,5,20.0514667,1.0635474,1417.2384,state,fb-survey
27,nc,smoothed_felt_isolated_5d,2021-01-03,2021-01-08,5,18.0297965,0.3710585,10734.013,state,fb-survey
28,nd,smoothed_felt_isolated_5d,2021-01-03,2021-01-08,5,14.5047467,1.28766,747.9107,state,fb-survey
29,ne,smoothed_felt_isolated_5d,2021-01-03,2021-01-08,5,19.3126398,0.8803774,2010.5246,state,fb-survey
30,nh,smoothed_felt_isolated_5d,2021-01-03,2021-01-08,5,22.3313192,0.9347595,1985.0,state,fb-survey
31,nj,smoothed_felt_isolated_5d,2021-01-03,2021-01-08,5,18.06387,0.4767449,6511.9975,state,fb-survey
32,nm,smoothed_felt_isolated_5d,2021-01-03,2021-01-08,5,24.0401015,0.8687628,2419.459,state,fb-survey
33,nv,smoothed_felt_isolated_5d,2021-01-03,2021-01-08,5,20.7975958,0.8581706,2236.6822,state,fb-survey
