,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,01003,bars_visit_prop,2021-02-05,2021-03-04,27,492.0567974,,,county,safegraph
1,01089,bars_visit_prop,2021-02-05,2021-03-04,27,290.7041253,,,county,safegraph
2,04013,bars_visit_prop,2021-02-05,2021-03-04,27,92.4885267,,,county,safegraph
3,04019,bars_visit_prop,2021-02-05,2021-03-04,27,37.3280576,,,county,safegraph
4,05007,bars_visit_prop,2021-02-05,2021-03-04,27,78.1397992,,,county,safegraph
5,05119,bars_visit_prop,2021-02-05,2021-03-04,27,333.4352711,,,county,safegraph
6,05125,bars_visit_prop,2021-02-05,2021-03-04,27,462.6165045,,,county,safegraph
7,06019,bars_visit_prop,2021-02-05,2021-03-04,27,22.6682603,,,county,safegraph
8,06037,bars_visit_prop,2021-02-05,2021-03-04,27,40.6611862,,,county,safegraph
9,06059,bars_visit_prop,2021-02-05,2021-03-04,27,39.4950485,,,county,safegraph
10,06061,bars_visit_prop,2021-02-05,2021-03-04,27,39.3145708,,,county,safegraph
11,06073,bars_visit_prop,2021-02-05,2021-03-04,27,44.6989208,,,county,safegraph
12,06099,bars_visit_prop,2021-02-05,2021-03-04,27,9.0653613,,,county,safegraph
13,06111,bars_visit_prop,2021-02-05,2021-03-04,27,6.8853136,,,county,safegraph
14,08005,bars_visit_prop,2021-02-05,2021-03-04,27,45.5279169,,,county,safegraph
15,08013,bars_visit_prop,2021-02-05,2021-03-04,27,15.6033287,,,county,safegraph
16,08014,bars_visit_prop,2021-02-05,2021-03-04,27,15.6033287,,,county,safegraph
17,08031,bars_visit_prop,2021-02-05,2021-03-04,27,40.6887612,,,county,safegraph
18,08035,bars_visit_prop,2021-02-05,2021-03-04,27,17.6663019,,,county,safegraph
19,08039,bars_visit_prop,2021-02-05,2021-03-04,27,30.2813412,,,county,safegraph
20,08041,bars_visit_prop,2021-02-05,2021-03-04,27,27.278927,,,county,safegraph
21,08059,bars_visit_prop,2021-02-05,2021-03-04,27,17.2733478,,,county,safegraph
22,09003,bars_visit_prop,2021-02-05,2021-03-04,27,87.4011275,,,county,safegraph
23,09009,bars_visit_prop,2021-02-05,2021-03-04,27,68.6649941,,,county,safegraph
24,12005,bars_visit_prop,2021-02-05,2021-03-04,27,110.9725233,,,county,safegraph
25,12009,bars_visit_prop,2021-02-05,2021-03-04,27,74.354468,,,county,safegraph
26,12011,bars_visit_prop,2021-02-05,2021-03-04,27,37.8565128,,,county,safegraph
27,12019,bars_visit_prop,2021-02-05,2021-03-04,27,3.2092426,,,county,safegraph
28,12021,bars_visit_prop,2021-02-05,2021-03-04,27,31.1604138,,,county,safegraph
29,12031,bars_visit_prop,2021-02-05,2021-03-04,27,112.134171,,,county,safegraph
30,12035,bars_visit_prop,2021-02-05,2021-03-04,27,15.390704,,,county,safegraph
31,12057,bars_visit_prop,2021-02-05,2021-03-04,27,109.2391257,,,county,safegraph
32,12061,bars_visit_prop,2021-02-05,2021-03-04,27,94.7663149,,,county,safegraph
33,12069,bars_visit_prop,2021-02-05,2021-03-04,27,110.7060642,,,county,safegraph
34,12071,bars_visit_prop,2021-02-05,2021-03-04,27,106.7711573,,,county,safegraph
35,12073,bars_visit_prop,2021-02-05,2021-03-04,27,8.2907937,,,county,safegraph
36,12085,bars_visit_prop,2021-02-05,2021-03-04,27,69.3554521,,,county,safegraph
37,12086,bars_visit_prop,2021-02-05,2021-03-04,27,56.6657336,,,county,safegraph
38,12091,bars_visit_prop,2021-02-05,2021-03-04,27,54.3351841,,,county,safegraph
39,12095,bars_visit_prop,2021-02-05,2021-03-04,27,81.3823988,,,county,safegraph
40,12097,bars_visit_prop,2021-02-05,2021-03-04,27,24.5012965,,,county,safegraph
41,12099,bars_visit_prop,2021-02-05,2021-03-04,27,50.4210993,,,county,safegraph
42,12101,bars_visit_prop,2021-02-05,2021-03-04,27,99.8273818,,,county,safegraph
43,12103,bars_visit_prop,2021-02-05,2021-03-04,27,109.6124549,,,county,safegraph
44,12105,bars_visit_prop,2021-02-05,2021-03-04,27,67.8552477,,,county,safegraph
45,12109,bars_visit_prop,2021-02-05,2021-03-04,27,21.364478,,,county,safegraph
46,12111,bars_visit_prop,2021-02-05,2021-03-04,27,79.1130045,,,county,safegraph
47,12117,bars_visit_prop,2021-02-05,2021-03-04,27,46.7114998,,,county,safegraph
48,12127,bars_visit_prop,2021-02-05,2021-03-04,27,63.0284063,,,county,safegraph
49,12131,bars_visit_prop,2021-02-05,2021-03-04,27,122.4910599,,,county,safegraph
50,13057,bars_visit_prop,2021-02-05,2021-03-04,27,53.4444124,,,county,safegraph
51,13067,bars_visit_prop,2021-02-05,2021-03-04,27,56.7150236,,,county,safegraph
52,13089,bars_visit_prop,2021-02-05,2021-03-04,27,63.462484,,,county,safegraph
53,13113,bars_visit_prop,2021-02-05,2021-03-04,27,37.1816323,,,county,safegraph
54,13117,bars_visit_prop,2021-02-05,2021-03-04,27,76.0152206,,,county,safegraph
55,13121,bars_visit_prop,2021-02-05,2021-03-04,27,47.8691748,,,county,safegraph
56,13135,bars_visit_prop,2021-02-05,2021-03-04,27,136.3033293,,,county,safegraph
57,13139,bars_visit_prop,2021-02-05,2021-03-04,27,257.5200173,,,county,safegraph
58,13151,bars_visit_prop,2021-02-05,2021-03-04,27,88.0297188,,,county,safegraph
59,15003,bars_visit_prop,2021-02-05,2021-03-04,27,94.0438871,,,county,safegraph
60,16001,bars_visit_prop,2021-02-05,2021-03-04,27,26.7275232,,,county,safegraph
61,17031,bars_visit_prop,2021-02-05,2021-03-04,27,26.5282147,,,county,safegraph
62,17043,bars_visit_prop,2021-02-05,2021-03-04,27,22.4038427,,,county,safegraph
63,17063,bars_visit_prop,2021-02-05,2021-03-04,27,84.6919331,,,county,safegraph
64,17093,bars_visit_prop,2021-02-05,2021-03-04,27,84.6919331,,,county,safegraph
65,17097,bars_visit_prop,2021-02-05,2021-03-04,27,92.9886554,,,county,safegraph
66,17167,bars_visit_prop,2021-02-05,2021-03-04,27,73.5712136,,,county,safegraph
67,17197,bars_visit_prop,2021-02-05,2021-03-04,27,84.6919331,,,county,safegraph
68,17201,bars_visit_prop,2021-02-05,2021-03-04,27,7.3201083,,,county,safegraph
69,18001,bars_visit_prop,2021-02-05,2021-03-04,27,142.3675592,,,county,safegraph
70,18003,bars_visit_prop,2021-02-05,2021-03-04,27,81.5692334,,,county,safegraph
71,18017,bars_visit_prop,2021-02-05,2021-03-04,27,34.9726776,,,county,safegraph
72,18021,bars_visit_prop,2021-02-05,2021-03-04,27,69.2637502,,,county,safegraph
73,18033,bars_visit_prop,2021-02-05,2021-03-04,27,46.2687554,,,county,safegraph
74,18039,bars_visit_prop,2021-02-05,2021-03-04,27,87.5319843,,,county,safegraph
75,18041,bars_visit_prop,2021-02-05,2021-03-04,27,85.2170793,,,county,safegraph
76,18047,bars_visit_prop,2021-02-05,2021-03-04,27,85.2170793,,,county,safegraph
77,18049,bars_visit_prop,2021-02-05,2021-03-04,27,291.131151,,,county,safegraph
78,18053,bars_visit_prop,2021-02-05,2021-03-04,27,57.2813395,,,county,safegraph
79,18057,bars_visit_prop,2021-02-05,2021-03-04,27,53.7874014,,,county,safegraph
80,18063,bars_visit_prop,2021-02-05,2021-03-04,27,58.9300755,,,county,safegraph
81,18069,bars_visit_prop,2021-02-05,2021-03-04,27,26.1398857,,,county,safegraph
82,18081,bars_visit_prop,2021-02-05,2021-03-04,27,38.974558,,,county,safegraph
83,18085,bars_visit_prop,2021-02-05,2021-03-04,27,63.8802701,,,county,safegraph
84,18089,bars_visit_prop,2021-02-05,2021-03-04,27,15.9884883,,,county,safegraph
85,18091,bars_visit_prop,2021-02-05,2021-03-04,27,55.7737445,,,county,safegraph
86,18095,bars_visit_prop,2021-02-05,2021-03-04,27,81.9326748,,,county,safegraph
87,18097,bars_visit_prop,2021-02-05,2021-03-04,27,41.1685611,,,county,safegraph
88,18099,bars_visit_prop,2021-02-05,2021-03-04,27,38.7914314,,,county,safegraph
89,18103,bars_visit_prop,2021-02-05,2021-03-04,27,34.9726776,,,county,safegraph
90,18105,bars_visit_prop,2021-02-05,2021-03-04,27,60.0410807,,,county,safegraph
91,18109,bars_visit_prop,2021-02-05,2021-03-04,27,92.9291757,,,county,safegraph
92,18113,bars_visit_prop,2021-02-05,2021-03-04,27,44.6521535,,,county,safegraph
93,18121,bars_visit_prop,2021-02-05,2021-03-04,27,69.3296358,,,county,safegraph
94,18127,bars_visit_prop,2021-02-05,2021-03-04,27,4.8606217,,,county,safegraph
95,18141,bars_visit_prop,2021-02-05,2021-03-04,27,38.2576345,,,county,safegraph
96,18145,bars_visit_prop,2021-02-05,2021-03-04,27,130.9304741,,,county,safegraph
97,18149,bars_visit_prop,2021-02-05,2021-03-04,27,38.7914314,,,county,safegraph
98,18151,bars_visit_prop,2021-02-05,2021-03-04,27,147.993861,,,county,safegraph
99,18157,bars_visit_prop,2021-02-05,2021-03-04,27,24.3223637,,,county,safegraph
100,18161,bars_visit_prop,2021-02-05,2021-03-04,27,85.2170793,,,county,safegraph
101,18163,bars_visit_prop,2021-02-05,2021-03-04,27,73.1903681,,,county,safegraph
102,18167,bars_visit_prop,2021-02-05,2021-03-04,27,1.281377,,,county,safegraph
103,18169,bars_visit_prop,2021-02-05,2021-03-04,27,56.9475069,,,county,safegraph
104,18171,bars_visit_prop,2021-02-05,2021-03-04,27,15.8223676,,,county,safegraph
105,18179,bars_visit_prop,2021-02-05,2021-03-04,27,99.9933338,,,county,safegraph
106,18181,bars_visit_prop,2021-02-05,2021-03-04,27,15.8223676,,,county,safegraph
107,18183,bars_visit_prop,2021-02-05,2021-03-04,27,12.7665809,,,county,safegraph
108,19013,bars_visit_prop,2021-02-05,2021-03-04,27,47.547726,,,county,safegraph
109,19023,bars_visit_prop,2021-02-05,2021-03-04,27,47.547726,,,county,safegraph
110,19049,bars_visit_prop,2021-02-05,2021-03-04,27,26.9097514,,,county,safegraph
111,19075,bars_visit_prop,2021-02-05,2021-03-04,27,47.547726,,,county,safegraph
112,19153,bars_visit_prop,2021-02-05,2021-03-04,27,26.9097514,,,county,safegraph
113,19193,bars_visit_prop,2021-02-05,2021-03-04,27,3063.7254902,,,county,safegraph
114,20091,bars_visit_prop,2021-02-05,2021-03-04,27,73.8056897,,,county,safegraph
115,20173,bars_visit_prop,2021-02-05,2021-03-04,27,71.121556,,,county,safegraph
116,20209,bars_visit_prop,2021-02-05,2021-03-04,27,168.7763713,,,county,safegraph
117,21015,bars_visit_prop,2021-02-05,2021-03-04,27,83.8626793,,,county,safegraph
118,21059,bars_visit_prop,2021-02-05,2021-03-04,27,152.5963826,,,county,safegraph
119,21067,bars_visit_prop,2021-02-05,2021-03-04,27,24.6070561,,,county,safegraph
120,21101,bars_visit_prop,2021-02-05,2021-03-04,27,152.5963826,,,county,safegraph
121,21111,bars_visit_prop,2021-02-05,2021-03-04,27,47.8327542,,,county,safegraph
122,21117,bars_visit_prop,2021-02-05,2021-03-04,27,83.8626793,,,county,safegraph
123,21213,bars_visit_prop,2021-02-05,2021-03-04,27,75.2271281,,,county,safegraph
124,21227,bars_visit_prop,2021-02-05,2021-03-04,27,75.2271281,,,county,safegraph
125,22071,bars_visit_prop,2021-02-05,2021-03-04,27,125.3708889,,,county,safegraph
126,24005,bars_visit_prop,2021-02-05,2021-03-04,27,56.3727853,,,county,safegraph
127,24031,bars_visit_prop,2021-02-05,2021-03-04,27,5.5555041,,,county,safegraph
128,24033,bars_visit_prop,2021-02-05,2021-03-04,27,34.5837521,,,county,safegraph
129,24510,bars_visit_prop,2021-02-05,2021-03-04,27,11.4819825,,,county,safegraph
130,25005,bars_visit_prop,2021-02-05,2021-03-04,27,13.8476756,,,county,safegraph
131,25017,bars_visit_prop,2021-02-05,2021-03-04,27,65.0134671,,,county,safegraph
132,25021,bars_visit_prop,2021-02-05,2021-03-04,27,40.5389293,,,county,safegraph
133,26005,bars_visit_prop,2021-02-05,2021-03-04,27,22.4329561,,,county,safegraph
134,26021,bars_visit_prop,2021-02-05,2021-03-04,27,70.873179,,,county,safegraph
135,26023,bars_visit_prop,2021-02-05,2021-03-04,27,20.9065061,,,county,safegraph
136,26027,bars_visit_prop,2021-02-05,2021-03-04,27,82.3361511,,,county,safegraph
137,26037,bars_visit_prop,2021-02-05,2021-03-04,27,9.3431748,,,county,safegraph
138,26065,bars_visit_prop,2021-02-05,2021-03-04,27,65.0103158,,,county,safegraph
139,26077,bars_visit_prop,2021-02-05,2021-03-04,27,61.8954725,,,county,safegraph
140,26081,bars_visit_prop,2021-02-05,2021-03-04,27,52.4041877,,,county,safegraph
141,26093,bars_visit_prop,2021-02-05,2021-03-04,27,43.9106857,,,county,safegraph
142,26099,bars_visit_prop,2021-02-05,2021-03-04,27,36.9990893,,,county,safegraph
