,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,smoothed_accept_covid_vaccine,2021-01-01,2021-01-06,5,71.369863,2.3692913,364.0,state,fb-survey
1,al,smoothed_accept_covid_vaccine,2021-01-01,2021-01-06,5,63.9129632,1.0604262,2051.0643,state,fb-survey
2,ar,smoothed_accept_covid_vaccine,2021-01-01,2021-01-06,5,67.1865118,1.2364701,1442.0066,state,fb-survey
3,az,smoothed_accept_covid_vaccine,2021-01-01,2021-01-06,5,73.1925393,0.8452434,2746.3695,state,fb-survey
4,ca,smoothed_accept_covid_vaccine,2021-01-01,2021-01-06,5,78.3659838,0.3686171,12477.1061,state,fb-survey
5,co,smoothed_accept_covid_vaccine,2021-01-01,2021-01-06,5,79.3783645,0.7956162,2585.9374,state,fb-survey
6,ct,smoothed_accept_covid_vaccine,2021-01-01,2021-01-06,5,79.9440773,0.9030727,1966.0,state,fb-survey
7,dc,smoothed_accept_covid_vaccine,2021-01-01,2021-01-06,5,85.9195402,2.6444255,173.0,state,fb-survey
8,de,smoothed_accept_covid_vaccine,2021-01-01,2021-01-06,5,74.8037677,1.721476,636.0,state,fb-survey
9,fl,smoothed_accept_covid_vaccine,2021-01-01,2021-01-06,5,69.9443531,0.4989299,8445.0002,state,fb-survey
10,ga,smoothed_accept_covid_vaccine,2021-01-01,2021-01-06,5,64.3983084,0.8413377,3238.9511,state,fb-survey
11,hi,smoothed_accept_covid_vaccine,2021-01-01,2021-01-06,5,78.4042553,1.9000608,469.0,state,fb-survey
12,ia,smoothed_accept_covid_vaccine,2021-01-01,2021-01-06,5,74.8064877,1.0235906,1798.7689,state,fb-survey
13,id,smoothed_accept_covid_vaccine,2021-01-01,2021-01-06,5,68.5810573,1.5090183,946.2518,state,fb-survey
14,il,smoothed_accept_covid_vaccine,2021-01-01,2021-01-06,5,74.3363669,0.5890035,5499.0007,state,fb-survey
15,in,smoothed_accept_covid_vaccine,2021-01-01,2021-01-06,5,68.459295,0.8352599,3094.9996,state,fb-survey
16,ks,smoothed_accept_covid_vaccine,2021-01-01,2021-01-06,5,74.1042856,1.1299417,1503.0006,state,fb-survey
17,ky,smoothed_accept_covid_vaccine,2021-01-01,2021-01-06,5,70.0012893,0.9984798,2106.3479,state,fb-survey
18,la,smoothed_accept_covid_vaccine,2021-01-01,2021-01-06,5,63.9734956,1.0642144,2034.9977,state,fb-survey
19,ma,smoothed_accept_covid_vaccine,2021-01-01,2021-01-06,5,83.417147,0.7318036,2583.0065,state,fb-survey
20,md,smoothed_accept_covid_vaccine,2021-01-01,2021-01-06,5,79.4255027,0.8738519,2139.9986,state,fb-survey
21,me,smoothed_accept_covid_vaccine,2021-01-01,2021-01-06,5,80.3810505,1.2750548,970.0,state,fb-survey
22,mi,smoothed_accept_covid_vaccine,2021-01-01,2021-01-06,5,74.3826609,0.5949075,5384.0226,state,fb-survey
23,mn,smoothed_accept_covid_vaccine,2021-01-01,2021-01-06,5,80.3293441,0.8599524,2136.7035,state,fb-survey
24,mo,smoothed_accept_covid_vaccine,2021-01-01,2021-01-06,5,69.5901069,0.9158295,2523.0924,state,fb-survey
25,ms,smoothed_accept_covid_vaccine,2021-01-01,2021-01-06,5,60.7184147,1.345056,1318.3439,state,fb-survey
26,mt,smoothed_accept_covid_vaccine,2021-01-01,2021-01-06,5,69.6470565,1.7998981,652.5409,state,fb-survey
27,nc,smoothed_accept_covid_vaccine,2021-01-01,2021-01-06,5,69.9280485,0.6483871,5002.0062,state,fb-survey
28,nd,smoothed_accept_covid_vaccine,2021-01-01,2021-01-06,5,69.7663153,2.4705292,345.5866,state,fb-survey
29,ne,smoothed_accept_covid_vaccine,2021-01-01,2021-01-06,5,77.6880337,1.3595145,937.8303,state,fb-survey
30,nh,smoothed_accept_covid_vaccine,2021-01-01,2021-01-06,5,79.8098434,1.3432979,893.0,state,fb-survey
31,nj,smoothed_accept_covid_vaccine,2021-01-01,2021-01-06,5,76.3537886,0.7698945,3045.9989,state,fb-survey
32,nm,smoothed_accept_covid_vaccine,2021-01-01,2021-01-06,5,78.3311688,1.3418819,942.6305,state,fb-survey
33,nv,smoothed_accept_covid_vaccine,2021-01-01,2021-01-06,5,70.9208452,1.4157693,1028.8941,state,fb-survey
34,ny,smoothed_accept_covid_vaccine,2021-01-01,2021-01-06,5,75.8361828,0.5219664,6726.0013,state,fb-survey
35,oh,smoothed_accept_covid_vaccine,2021-01-01,2021-01-06,5,70.5478222,0.6011797,5749.0023,state,fb-survey
36,ok,smoothed_accept_covid_vaccine,2021-01-01,2021-01-06,5,68.854063,1.0050435,2123.0549,state,fb-survey
