,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,smoothed_worried_become_ill,2021-01-01,2021-01-06,5,64.7965475,1.6781317,810.0,state,fb-survey
1,al,smoothed_worried_become_ill,2021-01-01,2021-01-06,5,69.0811891,0.7224656,4092.1186,state,fb-survey
2,ar,smoothed_worried_become_ill,2021-01-01,2021-01-06,5,71.2023191,0.8279731,2991.0194,state,fb-survey
3,az,smoothed_worried_become_ill,2021-01-01,2021-01-06,5,69.5176483,0.6137574,5625.3569,state,fb-survey
4,ca,smoothed_worried_become_ill,2021-01-01,2021-01-06,5,73.7606952,0.2738002,25817.242,state,fb-survey
5,co,smoothed_worried_become_ill,2021-01-01,2021-01-06,5,68.03545,0.6377669,5346.6276,state,fb-survey
6,ct,smoothed_worried_become_ill,2021-01-01,2021-01-06,5,75.7199114,0.6727601,4062.0,state,fb-survey
7,dc,smoothed_worried_become_ill,2021-01-01,2021-01-06,5,74.0979381,2.226972,387.0,state,fb-survey
8,de,smoothed_worried_become_ill,2021-01-01,2021-01-06,5,70.04,1.2961724,1249.0,state,fb-survey
9,fl,smoothed_worried_become_ill,2021-01-01,2021-01-06,5,68.128162,0.3571275,17025.0002,state,fb-survey
10,ga,smoothed_worried_become_ill,2021-01-01,2021-01-06,5,68.0074556,0.5899238,6251.9206,state,fb-survey
11,hi,smoothed_worried_become_ill,2021-01-01,2021-01-06,5,68.4736842,1.5082223,949.0,state,fb-survey
12,ia,smoothed_worried_become_ill,2021-01-01,2021-01-06,5,67.2979959,0.7763372,3651.5367,state,fb-survey
13,id,smoothed_worried_become_ill,2021-01-01,2021-01-06,5,59.8059863,1.0895913,2024.7845,state,fb-survey
14,il,smoothed_worried_become_ill,2021-01-01,2021-01-06,5,69.7180644,0.4267059,11595.0226,state,fb-survey
15,in,smoothed_worried_become_ill,2021-01-01,2021-01-06,5,68.3424409,0.5816982,6393.9981,state,fb-survey
16,ks,smoothed_worried_become_ill,2021-01-01,2021-01-06,5,69.6988614,0.8272564,3086.0599,state,fb-survey
17,ky,smoothed_worried_become_ill,2021-01-01,2021-01-06,5,71.7831492,0.6861657,4302.0259,state,fb-survey
18,la,smoothed_worried_become_ill,2021-01-01,2021-01-06,5,65.7548571,0.7507497,3995.1816,state,fb-survey
19,ma,smoothed_worried_become_ill,2021-01-01,2021-01-06,5,74.7068631,0.5978281,5287.0155,state,fb-survey
20,md,smoothed_worried_become_ill,2021-01-01,2021-01-06,5,74.2930345,0.6521934,4489.9972,state,fb-survey
21,me,smoothed_worried_become_ill,2021-01-01,2021-01-06,5,71.9852941,0.9945035,2039.0,state,fb-survey
22,mi,smoothed_worried_become_ill,2021-01-01,2021-01-06,5,68.165516,0.4415526,11130.0631,state,fb-survey
23,mn,smoothed_worried_become_ill,2021-01-01,2021-01-06,5,67.7180931,0.6872041,4629.0561,state,fb-survey
24,mo,smoothed_worried_become_ill,2021-01-01,2021-01-06,5,68.2395104,0.6504359,5122.8785,state,fb-survey
25,ms,smoothed_worried_become_ill,2021-01-01,2021-01-06,5,68.9530646,0.9121693,2572.8914,state,fb-survey
